[00:00:00,000 - 00:00:05,919] 5億本曼成人版 西京無曼、寒曼、日曼、羅曼、一王打敬
[00:04:57,959 - 00:04:59,959] やっぱり
[00:04:59,959 - 00:05:02,959] おチンプと
[00:05:02,959 - 00:05:04,959] おもちゃね
[00:05:04,959 - 00:05:06,959] 両方でいかせるっていうのが
[00:05:06,959 - 00:05:09,959] さすが男って感じしません
[00:05:09,959 - 00:05:12,959] これ最新の党電話
[00:05:12,959 - 00:05:14,959] いかがですか
[00:05:14,959 - 00:05:16,959] 今度ゆっくり来たわ
[00:05:16,959 - 00:05:18,959] 今日はちょっと用意してあって
[00:05:18,959 - 00:05:20,959] どんな用意で
[00:05:20,959 - 00:05:22,959] それはちょっと言えないんですけど
[00:05:22,959 - 00:05:24,959] ちょっと用意を片付けている途中だったんですよ
[00:05:24,959 - 00:05:26,959] また今度ということで
[00:05:26,959 - 00:05:28,959] 片付けよ
[00:05:28,959 - 00:05:32,959] ちょっとおせますね
[00:05:32,959 - 00:05:34,959] セリー出します
[00:05:36,959 - 00:05:38,959] あ、困りますよ
[00:05:38,959 - 00:05:42,959] 片付けてこの方が出すけど
[00:05:42,959 - 00:05:44,959] なんか日本
[00:05:44,959 - 00:05:48,959] さっきここで食事しましたからね
[00:05:48,959 - 00:05:50,959] 食事じゃないですよねこれ
[00:05:50,959 - 00:05:54,959] さあ
[00:05:54,959 - 00:05:56,959] ちょっと
[00:05:56,959 - 00:05:58,959] 匂いを食べたんですこれ
[00:05:58,959 - 00:06:01,959] 匂いを忘れてください
[00:06:01,959 - 00:06:04,959] ちょっと困りますよ
[00:06:04,959 - 00:06:06,959] やっぱりこれ怖いよですか
[00:06:06,959 - 00:06:08,959] 最近人気ですからね
[00:06:08,959 - 00:06:10,959] うわ、出しました
[00:06:10,959 - 00:06:12,959] いやまだ出して
[00:06:12,959 - 00:06:14,959] 出してやってる途中だったんですよ
[00:06:14,959 - 00:06:16,959] そんなことどうでもいいんですよ
[00:06:16,959 - 00:06:18,959] 高生地の匂いしますけど
[00:06:18,959 - 00:06:20,959] うん
[00:06:20,959 - 00:06:22,959] うん?
[00:06:22,959 - 00:06:24,959] 今度買いますから
[00:06:24,959 - 00:06:26,959] 今日はちょっとお引き取りを
[00:06:26,959 - 00:06:28,959] なんかによってもったら
[00:06:28,959 - 00:06:30,959] わす
[00:06:30,959 - 00:06:32,959] こー
[00:06:32,959 - 00:06:36,959] これなんですか
[00:06:36,959 - 00:06:40,959] 出ましたね随分ちょっと記録ないですか
[00:06:40,959 - 00:06:42,959] 何日分これ
[00:06:42,959 - 00:06:44,959] 1日
[00:06:44,959 - 00:06:46,959] すごい
[00:06:46,959 - 00:06:48,959] やこまりますよ
[00:06:48,959 - 00:06:50,959] これクサイけどクサイになるんですよねこの匂い
[00:06:50,959 - 00:06:52,959] いやいや僕はいです
[00:06:52,959 - 00:06:54,959] いずせるよ
[00:06:54,959 - 00:06:56,959] いや本当にないですよ
[00:06:56,959 - 00:06:58,959] ティシュがほら
[00:06:58,959 - 00:07:00,959] どうしたらどうしたら
[00:07:00,959 - 00:07:02,959] これもクサイ
[00:07:02,959 - 00:07:04,959] 今日列で
[00:07:04,959 - 00:07:06,959] いやもう
[00:07:06,959 - 00:07:08,959] トルビック
[00:07:08,959 - 00:07:10,959] リコミチュウだったんですね
[00:07:12,959 - 00:07:14,959] 別話でしょうか
[00:07:14,959 - 00:07:16,959] いいじゃないですか
[00:07:16,959 - 00:07:18,959] 何の匂いですか
[00:07:18,959 - 00:07:21,959] 私気持ちよーくなるおもちゃを
[00:07:21,959 - 00:07:23,959] 販売してるんですよ
[00:07:23,959 - 00:07:25,959] あのおもちゃ
[00:07:25,959 - 00:07:27,959] 女の人だけじゃないんですよ
[00:07:27,959 - 00:07:29,959] 使うな
[00:07:29,959 - 00:07:33,959] 男の人にも使えるんです
[00:07:33,959 - 00:07:35,959] そんな便利なのが
[00:07:35,959 - 00:07:37,959] 試してみますよ
[00:07:37,959 - 00:07:39,959] ちょっと出してないでしょ
[00:07:39,959 - 00:07:41,959] ちょっと見てみるだけですよ
[00:07:41,959 - 00:07:43,959] 今日見ました
[00:07:43,959 - 00:07:45,959] やっぱり
[00:07:45,959 - 00:07:47,959] これは使ってみるかちありますよー
[00:07:47,959 - 00:07:49,959] ちょっと見てみるだけ見てみましょうか
[00:07:49,959 - 00:07:52,959] 使ってみないとわかんないですね
[00:07:52,959 - 00:07:54,959] 使うまいしょ
[00:07:54,959 - 00:07:56,959] 私が出てきますから
[00:07:56,959 - 00:07:58,959] おもちゃ
[00:07:58,959 - 00:08:00,959] おもちゃ
[00:08:00,959 - 00:08:02,959] ちょっとだけですよ
[00:08:02,959 - 00:08:06,959] まだゆっくり
[00:08:06,959 - 00:08:10,959] あっちのソーバーで
[00:08:10,959 - 00:08:12,959] 別でありますか
[00:08:12,959 - 00:08:14,959] ちょっとだけですよ
[00:08:14,959 - 00:08:16,959] すごいですよ
[00:08:16,959 - 00:08:18,959] 一番少し
[00:08:18,959 - 00:08:20,959] 別に
[00:08:20,959 - 00:08:22,959] さあ
[00:08:22,959 - 00:08:24,959] 何から試してみます
[00:08:24,959 - 00:08:25,959] え?
[00:08:25,959 - 00:08:28,959] 一の商品はどれもすごいんですよ
[00:08:28,959 - 00:08:31,459] あ、私がおすすめなの?
[00:08:31,459 - 00:08:32,960] まず
[00:08:32,960 - 00:08:33,960] おすすめ
[00:08:33,960 - 00:08:35,960] ちょっと可愛い
[00:08:35,960 - 00:08:39,960] ピンクでラメリのイボイボー
[00:08:39,960 - 00:08:42,960] これちょっとやってみます
[00:08:42,960 - 00:08:43,960] えっ?
[00:08:43,960 - 00:08:45,960] シンドウがすごいんですよ
[00:08:45,960 - 00:08:46,960] ちっちゃいなに
[00:08:46,960 - 00:08:47,960] 俺カワフルですよ
[00:08:47,960 - 00:08:48,960] ちょっと強いじゃないんですか
[00:08:48,960 - 00:08:51,960] 男性にもこのシンドウがいいんですよ
[00:08:51,960 - 00:08:53,960] これで、ちくびつまでみます
[00:08:54,960 - 00:08:56,960] ツーブを抜いて
[00:08:56,960 - 00:08:59,960] あ、やく
[00:08:59,960 - 00:09:03,960] 色々試してみないとわかんないじゃないですか
[00:09:03,960 - 00:09:05,960] ちょっとだけ
[00:09:05,960 - 00:09:07,960] ちくび感じますね
[00:09:07,960 - 00:09:09,960] ちくびは感じるんすよ
[00:09:09,960 - 00:09:10,960] これ、何なんですか
[00:09:10,960 - 00:09:12,960] チランですよ
[00:09:12,960 - 00:09:14,960] 少しですね
[00:09:14,960 - 00:09:15,960] なんですか?
[00:09:15,960 - 00:09:17,960] 私は大丈夫ですがみなれてますから
[00:09:17,960 - 00:09:19,960] やはりさ、ウェリークだいさ
[00:09:19,960 - 00:09:21,960] じゃあちょっと先に
[00:09:21,960 - 00:09:25,960] ちくびからやってみましょうか
[00:09:25,960 - 00:09:26,960] ここは
[00:09:26,960 - 00:09:30,960] 女性の場合、フリトリスを挟んだりするんですけど
[00:09:30,960 - 00:09:31,960] 男性でした
[00:09:31,960 - 00:09:33,960] ちくび挟むのみにかもしれないですね
[00:09:33,960 - 00:09:35,960] いきます
[00:09:35,960 - 00:09:37,960] あっ
[00:09:37,960 - 00:09:38,960] 強いですか
[00:09:38,960 - 00:09:40,960] ちょっと
[00:09:43,960 - 00:09:45,960] ちょっとお客様よく見えると
[00:09:45,960 - 00:09:46,960] こっちのちくびより
[00:09:46,960 - 00:09:48,960] こっちの方が出張ってますね
[00:09:48,960 - 00:09:49,960] じゃあ
[00:09:49,960 - 00:09:51,960] ここを挟んで
[00:09:51,960 - 00:09:52,960] はい
[00:09:52,960 - 00:09:54,960] 来ますよ
[00:09:54,960 - 00:09:57,960] すごい力でしょどうですか
[00:09:57,960 - 00:10:00,960] やっぱり
[00:10:00,960 - 00:10:02,960] どうしたんですか
[00:10:02,960 - 00:10:03,960] じゃあ
[00:10:03,960 - 00:10:05,960] なんか
[00:10:05,960 - 00:10:08,960] 電池インを入れてますか
[00:10:08,960 - 00:10:10,960] すごい
[00:10:10,960 - 00:10:11,960] すごい心動でしょ
[00:10:11,960 - 00:10:13,960] この男の人でも
[00:10:13,960 - 00:10:14,960] あったりすれんですか
[00:10:14,960 - 00:10:16,960] でも、強いんですよ
[00:10:16,960 - 00:10:19,960] 私はもうに男性に販売してます
[00:10:19,960 - 00:10:20,960] あ、そうですか
[00:10:20,960 - 00:10:23,960] またちくびが立ってきたでしょ
[00:10:23,960 - 00:10:25,960] ちょっと
[00:10:25,960 - 00:10:26,960] ズボン
[00:10:26,960 - 00:10:28,960] ぬぐぎになりました
[00:10:28,960 - 00:10:32,960] ぱんぱんじゃないんですよ
[00:10:32,960 - 00:10:35,960] 先ほど途中だったんですよね
[00:10:35,960 - 00:10:36,960] そうなんですよ
[00:10:36,960 - 00:10:38,960] じゃあ次のお試しにみましょうよ
[00:10:38,960 - 00:10:39,960] ちょっと
[00:10:39,960 - 00:10:40,960] ちょっと僕
[00:10:40,960 - 00:10:41,960] はずかしいですよ
[00:10:41,960 - 00:10:42,960] じゃあ準備してますから
[00:10:42,960 - 00:10:44,960] その間にズボンを入れていただきました
[00:10:44,960 - 00:10:45,960] ちょっとはずかしいです
[00:10:45,960 - 00:10:47,960] 大丈夫ですよ
[00:10:47,960 - 00:10:49,960] そうだな
[00:10:49,960 - 00:10:52,960] 次は
[00:10:52,960 - 00:10:54,960] この
[00:10:54,960 - 00:10:56,960] 電話
[00:10:56,960 - 00:11:00,960] 心動がたまらないんですよね
[00:11:00,960 - 00:11:02,960] それは完全に女性よですよね
[00:11:02,960 - 00:11:03,960] これはですね
[00:11:03,960 - 00:11:05,960] はい
[00:11:05,960 - 00:11:07,960] いきますよ
[00:11:07,960 - 00:11:10,960] スイッチ
[00:11:10,960 - 00:11:11,960] うん
[00:11:11,960 - 00:11:12,960] え?
[00:11:12,960 - 00:11:13,960] これ
[00:11:13,960 - 00:11:15,960] どこにあっていると思います?
[00:11:15,960 - 00:11:17,960] いや
[00:11:17,960 - 00:11:18,960] ちっくみですか
[00:11:18,960 - 00:11:20,960] ちっくみですか?
[00:11:20,960 - 00:11:22,960] どんなに
[00:11:22,960 - 00:11:25,960] 一番あるリンターがあってます
[00:11:25,960 - 00:11:27,960] あ
[00:11:27,960 - 00:11:30,960] ここ
[00:11:30,960 - 00:11:34,960] 火はどのところに当たるでしょう?
[00:11:34,960 - 00:11:35,960] 当たります
[00:11:35,960 - 00:11:37,960] 赤ちゃんの手を知らないでください
[00:11:37,960 - 00:11:39,960] はい、大丈夫ですよ
[00:11:39,960 - 00:11:42,960] じゃあよりかかってリラックしてくださいね
[00:11:42,960 - 00:11:44,960] あそ
[00:11:44,960 - 00:11:46,960] そのどのものに
[00:11:46,960 - 00:11:48,960] 一番
[00:11:48,960 - 00:11:50,960] こうやって
[00:11:50,960 - 00:11:52,960] 当てると
[00:11:52,960 - 00:11:53,960] あ
[00:11:53,960 - 00:11:55,960] 言うたまに心動があってありました
[00:11:55,960 - 00:11:57,960] あ、すごい
[00:11:57,960 - 00:11:59,960] ほら
[00:11:59,960 - 00:12:02,960] 一番あって
[00:12:02,960 - 00:12:04,960] あ、どうですか?
[00:12:04,960 - 00:12:06,960] すごい心動ですよ
[00:12:06,960 - 00:12:08,960] では、握りたくなったんですか?
[00:12:08,960 - 00:12:10,960] そうです
[00:12:10,960 - 00:12:12,960] これ
[00:12:12,960 - 00:12:14,960] 火はどれどれどれくるんですよ
[00:12:14,960 - 00:12:16,960] この心動が
[00:12:16,960 - 00:12:17,960] あ
[00:12:17,960 - 00:12:19,960] ああ
[00:12:19,960 - 00:12:21,960] ああ
[00:12:21,960 - 00:12:24,960] ああ
[00:12:24,960 - 00:12:27,960] これ、キンタマーいいですか?
[00:12:27,960 - 00:12:29,960] こうしてみてね
[00:12:29,960 - 00:12:31,960] ああ
[00:12:31,960 - 00:12:35,960] この穴ありに近いところから
[00:12:35,960 - 00:12:38,960] キンタマーのいらっしゃじをなでると
[00:12:38,960 - 00:12:40,960] ほらもう
[00:12:40,960 - 00:12:42,960] パンじゃないですか?
[00:12:42,960 - 00:12:44,960] ああ
[00:12:47,960 - 00:12:50,960] じゃあ、これはこの辺にしてきますね
[00:12:50,960 - 00:12:51,960] はい
[00:12:51,960 - 00:12:52,960] 少し結ですね
[00:12:52,960 - 00:12:54,960] でしょ?
[00:12:54,960 - 00:12:56,960] 私もこれ
[00:12:56,960 - 00:12:58,960] すごく感じるんですよ
[00:12:58,960 - 00:13:00,960] 私の場合は
[00:13:00,960 - 00:13:02,960] 直接
[00:13:02,960 - 00:13:04,960] こういう風に当てるんですよ
[00:13:04,960 - 00:13:06,960] ほら
[00:13:06,960 - 00:13:08,960] ほら
[00:13:08,960 - 00:13:10,960] ほら
[00:13:10,960 - 00:13:12,960] ほら
[00:13:12,960 - 00:13:14,960] ごめん
[00:13:14,960 - 00:13:16,960] バンティーの鳴っちゃう
[00:13:16,960 - 00:13:20,960] バンティーが鳴っちゃう
[00:13:20,960 - 00:13:22,960] ほら
[00:13:22,960 - 00:13:24,960] ほら
[00:13:24,960 - 00:13:26,960] ほら
[00:13:26,960 - 00:13:28,960] ほら
[00:13:28,960 - 00:13:30,960] ほら
[00:13:30,960 - 00:13:32,960] ほら
[00:13:32,960 - 00:13:34,960] ほら
[00:13:34,960 - 00:13:36,960] ほら
[00:13:36,960 - 00:13:38,960] ほら
[00:13:38,960 - 00:13:40,960] ほら
[00:13:40,960 - 00:13:42,960] ほら
[00:13:42,960 - 00:13:44,960] ほら
[00:13:44,960 - 00:13:48,960] やっぱりいい商品だ
[00:13:48,960 - 00:13:52,960] そうですね
[00:13:52,960 - 00:13:54,960] あとは
[00:13:54,960 - 00:13:58,960] ちょっとこれもおすすめなんですよ
[00:13:58,960 - 00:14:02,960] おじんぽの形してるんですけど
[00:14:02,960 - 00:14:04,960] それは
[00:14:04,960 - 00:14:05,960] いや
[00:14:05,960 - 00:14:07,960] おじんぽに
[00:14:07,960 - 00:14:08,960] ちょっとちょっと
[00:14:08,960 - 00:14:09,960] さすがに
[00:14:09,960 - 00:14:11,960] 恥ずかしいですよ
[00:14:11,960 - 00:14:12,960] 大丈夫ですよ
[00:14:12,960 - 00:14:13,960] 曲様
[00:14:13,960 - 00:14:15,960] すがに
[00:14:15,960 - 00:14:17,960] 試してみます
[00:14:17,960 - 00:14:20,960] いや、さすがにちょっとそれは
[00:14:20,960 - 00:14:22,960] どうしているのさるんですか
[00:14:22,960 - 00:14:26,960] 試してみないと商品のうさは分からないでしょう
[00:14:26,960 - 00:14:28,960] ちょっとこれ
[00:14:28,960 - 00:14:30,960] やめましょう
[00:14:30,960 - 00:14:32,960] やっぱり
[00:14:32,960 - 00:14:34,960] お気をおにしましょうか
[00:14:34,960 - 00:14:36,960] 毎の曲さん使いすぎてしょう
[00:14:36,960 - 00:14:38,960] 私が使ってるんですよ
[00:14:38,960 - 00:14:42,960] いつもちゃんと成長にごっかすチェックしてますから
[00:14:42,960 - 00:14:44,960] じゃあ、おじんぽい
[00:14:44,960 - 00:14:48,960] これはキンタマンやってていてますからね
[00:14:48,960 - 00:14:50,960] おすすく
[00:14:50,960 - 00:14:52,960] キンタマが
[00:14:52,960 - 00:14:56,960] チンぽでぐりぐりされてるみたいですよ
[00:14:56,960 - 00:14:58,960] これどうですか?
[00:14:58,960 - 00:15:00,960] ほら
[00:15:00,960 - 00:15:03,960] このローリングが素晴らしい動きでしょう
[00:15:03,960 - 00:15:05,960] こっちこっちにません
[00:15:05,960 - 00:15:07,960] どうしたのですか?
[00:15:07,960 - 00:15:09,960] すっごいしやきろ
[00:15:09,960 - 00:15:12,960] じゃあ、目の前でよく見せてくださいね
[00:15:15,960 - 00:15:17,960] これは
[00:15:17,960 - 00:15:19,960] ここでしこしこしながら
[00:15:19,960 - 00:15:21,960] キンタマンに合ってる感じ
[00:15:21,960 - 00:15:23,960] さまなしてください
[00:15:23,960 - 00:15:25,960] こうやって
[00:15:25,960 - 00:15:27,960] さっき
[00:15:27,960 - 00:15:30,960] やってるさっき
[00:15:30,960 - 00:15:33,960] こっちまでセンシーで返さないですか?
[00:15:38,960 - 00:15:41,960] ほら、自分でしこいて
[00:15:41,960 - 00:15:43,960] ちゃんとしこいてくださ
[00:15:45,960 - 00:15:48,960] キンタマンにぐりぐりに当てますよ
[00:15:49,960 - 00:15:52,960] さっきどうやってやってたか見せてくださいよ
[00:15:52,960 - 00:15:54,960] 恥ずかしい
[00:15:54,960 - 00:15:57,960] 恥ずかしいけど感じるんじゃないですか
[00:16:03,960 - 00:16:07,960] あっ、すいません
[00:16:09,960 - 00:16:11,960] ちなみにしようそろ
[00:16:11,960 - 00:16:13,960] しますよ
[00:16:13,960 - 00:16:15,960] やらしい
[00:16:15,960 - 00:16:17,960] チームの匂い
[00:16:17,960 - 00:16:19,960] ごはんしてきちゃった
[00:16:19,960 - 00:16:23,960] ちょっと暑くなったんで
[00:16:23,960 - 00:16:27,960] これからとって大きなものを使いますから
[00:16:27,960 - 00:16:29,960] そのためにチームを
[00:16:29,960 - 00:16:31,960] ビンビンなほうがいいですよ
[00:16:32,960 - 00:16:34,960] ほら
[00:16:38,960 - 00:16:41,960] あと
[00:16:44,960 - 00:16:46,960] これをつけると
[00:16:46,960 - 00:16:50,960] おのすごく気持ちよくなれと
[00:16:50,960 - 00:16:53,960] 手をきのおもちゃがあるんですよ
[00:16:53,960 - 00:16:55,960] 使ってみます
[00:16:56,960 - 00:17:00,960] ちょっとすごいビン化なんで
[00:17:00,960 - 00:17:04,960] ビン化になってますよ
[00:17:04,960 - 00:17:06,960] もっと固くなる
[00:17:06,960 - 00:17:09,960] もっと固くなる
[00:17:14,960 - 00:17:18,960] こんな風に固くなったら
[00:17:18,960 - 00:17:23,960] すごくおすすめのものがありますからね
[00:17:25,960 - 00:17:27,960] 使ってみます
[00:17:27,960 - 00:17:29,960] ちょっと
[00:17:29,960 - 00:17:34,960] 最新のとって大きなものがあります
[00:17:34,960 - 00:17:38,960] 使ったアフカの客さなって言ってました
[00:17:38,960 - 00:17:41,960] もう手放せない
[00:17:41,960 - 00:17:44,960] はら、あものものがあるんですか
[00:17:44,960 - 00:17:47,960] 形がこんな
[00:17:47,960 - 00:17:50,960] ビラビラが部を作って
[00:17:50,960 - 00:17:52,960] もうビッて
[00:17:52,960 - 00:17:55,960] 穴が小さいに広がるんです
[00:17:55,960 - 00:17:59,960] こんなお漫画り相敵じゃないですか
[00:17:59,960 - 00:18:04,960] ここに穴のビンビンのチームを入れたら
[00:18:04,960 - 00:18:09,960] もう気持ちよくてたまらないですよ
[00:18:09,960 - 00:18:12,960] これが
[00:18:12,960 - 00:18:14,960] 見て
[00:18:14,960 - 00:18:16,960] マンジルが出てるみたいです
[00:18:16,960 - 00:18:18,960] 見覚えあるでしょ
[00:18:18,960 - 00:18:20,960] ちょっと強く見せてください
[00:18:22,960 - 00:18:24,960] 指を入れてみてくださいよ
[00:18:24,960 - 00:18:26,960] 指を入れてみてください
[00:18:26,960 - 00:18:28,960] 私に見せてください
[00:18:28,960 - 00:18:30,960] どうですか
[00:18:30,960 - 00:18:32,960] すごい切っとしまいます
[00:18:32,960 - 00:18:36,960] 島にがいいでしょうこのマンコ
[00:18:36,960 - 00:18:40,960] 私のマンコをモデルにしたんですこれ
[00:18:40,960 - 00:18:42,960] 私の形
[00:18:42,960 - 00:18:44,960] こういう形してるんですよ
[00:18:44,960 - 00:18:46,960] 5分します
[00:18:46,960 - 00:18:48,960] でしょ
[00:18:48,960 - 00:18:50,960] 入れますか
[00:18:50,960 - 00:18:52,960] 入れてみましょうよ
[00:18:54,960 - 00:18:56,960] 入りますよ
[00:18:56,960 - 00:18:58,960] お漫画に入っちゃう
[00:18:58,960 - 00:19:00,960] すごい
[00:19:00,960 - 00:19:04,960] お漫画に絶対
[00:19:04,960 - 00:19:06,960] 持ちれば
[00:19:06,960 - 00:19:10,960] すごい
[00:19:10,960 - 00:19:14,960] ビラビラがめくれて
[00:19:14,960 - 00:19:16,960] こんなに
[00:19:16,960 - 00:19:18,960] やってみてください
[00:19:18,960 - 00:19:20,960] やらしい
[00:19:20,960 - 00:19:24,960] これやばいですね
[00:19:24,960 - 00:19:26,960] やっぱり
[00:19:26,960 - 00:19:28,960] すごいですよ
[00:19:28,960 - 00:19:30,960] すごいやばいです
[00:19:30,960 - 00:19:34,960] いいですよこれは
[00:19:34,960 - 00:19:36,960] 私も手伝いますから
[00:19:36,960 - 00:19:40,960] もう強いです
[00:19:40,960 - 00:19:42,960] もっと
[00:19:42,960 - 00:19:44,960] マンジルが出てきた
[00:19:44,960 - 00:19:46,960] マンジルも
[00:19:48,960 - 00:19:50,960] ちょっとやばいですよね
[00:19:50,960 - 00:19:52,960] どうしたんですか
[00:19:52,960 - 00:19:54,960] 遠くまで
[00:19:54,960 - 00:19:56,960] いく力をいくまで行く
[00:19:56,960 - 00:19:58,960] こうでしょ
[00:19:58,960 - 00:20:02,960] やっぱりマンコに突っぽ突っこするのがいいんですよ
[00:20:02,960 - 00:20:04,960] ちょっと
[00:20:04,960 - 00:20:08,960] 频道
[00:20:08,960 - 00:20:16,960] ete
[00:20:16,960 - 00:20:20,960] うん
